id_personne;person_id;trip_id;departure_time;arrival_time;travel_time;following_purpose;is_commute;mode;preceeding_activity_index;following_activity_index
15597801000.0;6148;4.0;20.25;20.26723958990695;0.01723958990694996;shop;False;car;4.0;5.0
15597801000.0;6148;5.0;21.0;21.030802047272218;0.030802047272217692;home;False;car;5.0;6.0
1480901000.0;6150;1.0;12.5;12.728459120194401;0.22845912019440107;leisure;False;car;1.0;2.0
1480901000.0;6150;2.0;12.75;13.019595579259299;0.269595579259299;leisure;False;car;2.0;3.0
1480901000.0;6150;3.0;15.25;15.513493664275385;0.26349366427538534;leisure;False;car;3.0;4.0
1480901000.0;6150;4.0;15.75;15.772308877544146;0.022308877544146455;other;False;car;4.0;5.0
1480901000.0;6150;5.0;15.916666666666664;16.145125786861065;0.22845912019440107;home;False;car;5.0;6.0
11430701000.0;6387;1.0;7.5;7.559270782030948;0.059270782030948155;other;False;car;1.0;2.0
11430701000.0;6387;2.0;7.833333333333332;7.960490860709099;0.12715752737576658;work;True;car;2.0;3.0
11430701000.0;6387;3.0;17.0;17.172648973272818;0.17264897327281759;home;False;car;3.0;4.0
11430701000.0;6387;4.0;19.0;19.015755735463635;0.01575573546363529;leisure;False;car_passenger;4.0;5.0
11430701000.0;6387;5.0;21.25;21.265755735463635;0.01575573546363529;home;False;car_passenger;5.0;6.0
19295603000.0;6389;1.0;7.333333333333332;7.63595289648152;0.3026195631481876;education;True;car_passenger;1.0;2.0
19295603000.0;6389;2.0;16.0;16.453929344722283;0.4539293447222832;home;False;pt;2.0;3.0
18540504000.0;6390;1.0;8.5;8.638329621731428;0.13832962173142782;education;True;pt;1.0;2.0
18540504000.0;6390;2.0;18.25;18.342219747820952;0.09221974782095188;home;False;car_passenger;2.0;3.0
21610305000.0;6391;1.0;7.5;7.560796895227291;0.06079689522729126;education;True;pt;1.0;2.0
21610305000.0;6391;2.0;15.25;15.310796895227291;0.06079689522729126;home;False;pt;2.0;3.0
21610305000.0;6391;3.0;19.0;19.170271413233813;0.170271413233813;shop;False;car_passenger;3.0;4.0
21610305000.0;6391;4.0;19.5;19.670271413233813;0.170271413233813;home;False;car_passenger;4.0;5.0
17225901000.0;6524;1.0;7.25;7.8504395449804845;0.6004395449804845;education;True;pt;1.0;2.0
17225901000.0;6524;2.0;11.75;12.350439544980485;0.6004395449804854;home;False;pt;2.0;3.0
21424201000.0;7199;1.0;9.0;9.28474162295319;0.28474162295318983;work;True;walk;1.0;2.0
21424201000.0;7199;2.0;18.0;18.284741622953188;0.28474162295318806;home;False;walk;2.0;3.0
1719604000.0;7200;1.0;7.833333333333332;7.934953844684152;0.10162051135081995;education;True;car_passenger;1.0;2.0
1719604000.0;7200;2.0;17.25;17.35162051135082;0.10162051135081995;home;False;car_passenger;2.0;3.0
15467101000.0;7291;1.0;13.0;13.207226328991293;0.20722632899129323;shop;False;car;1.0;2.0
15467101000.0;7291;2.0;13.833333333333336;14.040559662324629;0.20722632899129323;home;False;car;2.0;3.0
24837001000.0;7292;1.0;9.0;9.07228361916783;0.07228361916783044;shop;False;car;1.0;2.0
24837001000.0;7292;2.0;9.25;9.350488606319324;0.10048860631932399;leisure;False;car;2.0;3.0
24837001000.0;7292;3.0;11.0;11.117854018175029;0.11785401817502894;home;False;car;3.0;4.0
24837001000.0;7292;4.0;20.0;20.072431378916043;0.07243137891604334;leisure;False;car;4.0;5.0
24837001000.0;7292;5.0;22.5;22.572431378916043;0.07243137891604334;home;False;car;5.0;6.0
40312401000.0;7301;1.0;8.0;8.420490572545924;0.4204905725459245;work;True;car;1.0;2.0
40312401000.0;7301;2.0;17.5;17.920490572545926;0.42049057254592626;home;False;car;2.0;3.0
18226901000.0;7395;1.0;6.5;6.833333333333332;0.33333333333333215;shop;False;walk;1.0;2.0
18226901000.0;7395;2.0;6.833333333333332;7.215924517405771;0.38259118407243875;home;False;walk;2.0;3.0
24922901000.0;7781;1.0;7.7;7.752223917892093;0.052223917892092686;other;False;car;1.0;2.0
24922901000.0;7781;2.0;7.833333333333332;7.897240633249384;0.06390729991605149;other;False;car;2.0;3.0
